zipcode,lat,lon
10001,40.750422,-73.996328
10002,40.718758,-73.986427
10003,40.730223,-73.988564
10004,40.7038704,-74.0160428
10005,40.706903,-74.008654
10006,40.708834,-74.013168
10007,40.713941,-74.007401
10009,40.72775,-73.980396
10010,40.739024,-73.983542
10011,40.740916,-73.999769
10012,40.729124,-73.991582
10013,40.722105,-74.003497
10014,40.738088,-74.005095
10016,40.745527,-73.978449
10017,40.752955,-73.973196
10018,40.755332,-73.993172
10019,40.765926,-73.985443
10020,40.735449,-73.996788
10021,40.768823,-73.960257
10022,40.758775,-73.967842
10023,40.776765,-73.982213
10024,40.80813,-73.965653
10025,40.798664,-73.967778
10026,40.802918,-73.953107
10027,40.812242,-73.9532
10028,40.776629,-73.953914
10029,40.791884,-73.943517
10030,40.818474,-73.94329
10031,40.823438,-73.949039
10032,40.839137,-73.942181
10033,40.851293,-73.934764
10034,40.863194,-73.926959
10035,40.801913,-73.9347
10036,40.75953,-73.989847
10037,40.813884,-73.938498
10038,40.710223,-74.003368
10039,40.826736,-73.939398
10040,40.858692,-73.930999
10041,40.703801,-74.009814
10044,40.761812,-73.950521
10045,40.70859,-74.008687
10048,40.71254,-74.013289
10055,40.780751,-73.977182
10069,40.777952,-73.988381
10103,40.760264,-73.97624
10105,40.762808,-73.978534
10106,40.765243,-73.980438
10107,40.766429,-73.982728
10110,40.753987,-73.980811
10111,40.759224,-73.977762
10112,40.759287,-73.979808
10115,40.811115,-73.96423
10118,40.748998,-73.986467
10119,40.780751,-73.977182
10120,40.750629,-73.989426
10121,40.74964,-73.991889
10122,40.751757,-73.992171
10123,40.751489,-73.990537
10128,40.780989,-73.95158
10129,40.780751,-73.977182
10151,40.763419,-73.973971
10152,40.758937,-73.97302
10153,40.764068,-73.97348
10154,40.758304,-73.973468
10155,40.761104,-73.968036
10158,40.749435,-73.9758
10162,40.769945,-73.951117
10165,40.752351,-73.979132
10167,40.754858,-73.97497
10168,40.751933,-73.976794
10169,40.75474,-73.976595
10170,40.752621,-73.97548
10171,40.756447,-73.974821
10172,40.755839,-73.975279
10173,40.754305,-73.979564
10174,40.751656,-73.97516
10175,40.754305,-73.979782
10176,40.75557,-73.978877
10177,40.755332,-73.976082
10178,40.751378,-73.978507
10179,40.780751,-73.977182
10271,40.708918,-74.011066
10278,40.780751,-73.977182
10279,40.712697,-74.007812
10280,40.708857,-74.016217
10281,40.714643,-74.014958
10282,40.716597,-74.01459
10301,40.623632,-74.093323
10302,40.628923,-74.137947
10303,40.631697,-74.165016
10304,40.608389,-74.093684
10305,40.596828,-74.077837
10306,40.559668,-74.12241
10307,40.510723,-74.24194
10308,40.551191,-74.148893
10309,40.531767,-74.218779
10310,40.632943,-74.118669
10312,40.545163,-74.174692
10314,40.591006,-74.150741
10451,40.819329,-73.920355
10452,40.838729,-73.921605
10453,40.852728,-73.912455
10454,40.807129,-73.918405
10455,40.815029,-73.908355
10456,40.830529,-73.908655
10457,40.846129,-73.898255
10458,40.864728,-73.889855
10459,40.825629,-73.893605
10460,40.841829,-73.879004
10461,40.845279,-73.843103
10462,40.842729,-73.854703
10463,40.879528,-73.904355
10464,40.863028,-73.799802
10465,40.826879,-73.825153
10466,40.859878,-73.841003
10467,40.876328,-73.870404
10468,40.870978,-73.900505
10469,40.869978,-73.844903
10470,40.87143,-73.862303
10471,40.899178,-73.898677
10472,40.829529,-73.865704
10473,40.816229,-73.860304
10474,40.813929,-73.884104
10475,40.874878,-73.827653
10803,40.904538,-73.806277
11001,40.720051,-73.706783
11004,40.745263,-73.711159
11005,40.757057,-73.7182
11040,40.729351,-73.682824
11101,40.744622,-73.934502
11102,40.770808,-73.92516
11103,40.761884,-73.911642
11104,40.742794,-73.918216
11105,40.776468,-73.908761
11106,40.760601,-73.930984
11109,40.651378,-73.870779
11201,40.694481,-73.989319
11203,40.663551,-73.949389
11204,40.603838,-73.987635
11205,40.682507,-73.936274
11206,40.700453,-73.949255
11207,40.670925,-73.895216
11208,40.662195,-73.912945
11209,40.622459,-74.028749
11210,40.625468,-73.945521
11211,40.707789,-73.945344
11212,40.663845,-73.916406
11213,40.67317,-73.936055
11214,40.599523,-73.998594
11215,40.664322,-73.984132
11216,40.680474,-73.946829
11217,40.684948,-73.980613
11218,40.64434,-73.978411
11219,40.633157,-73.996953
11220,40.634873,-74.016905
11221,40.700418,-73.936764
11222,40.728388,-73.945754
11223,40.633801,-73.954405
11224,40.635444,-73.968536
11225,40.661096,-73.952295
11226,40.644962,-73.956304
11228,40.624552,-73.989853
11229,40.600988,-73.939998
11230,40.62251,-73.966109
11231,40.676521,-74.003322
11232,40.671186,-73.971708
11233,40.682088,-73.920638
11234,40.610947,-73.913892
11235,40.584455,-73.948402
11236,40.65701,-73.91581
11237,40.702192,-73.91807
11238,40.680593,-73.963928
11239,40.649207,-73.876754
11241,40.645099,-73.945032
11242,40.645099,-73.945032
11249,40.645099,-73.945032
11251,40.645099,-73.945032
11354,40.766382,-73.82619
11355,40.750317,-73.813903
11356,40.784369,-73.843641
11357,40.786173,-73.819069
11358,40.760426,-73.795788
11359,40.79278,-73.776701
11360,40.756745,-73.803301
11361,40.764438,-73.773026
11362,40.758364,-73.735759
11363,40.771467,-73.745323
11364,40.742772,-73.758831
11365,40.738884,-73.790067
11366,40.727277,-73.790772
11367,40.730164,-73.821997
11368,40.748751,-73.854333
11369,40.762741,-73.869969
11370,40.763771,-73.891451
11371,40.7712,-73.867514
11372,40.751146,-73.882508
11373,40.73509,-73.877562
11374,40.722861,-73.862069
11375,40.723041,-73.843688
11377,40.748372,-73.905445
11378,40.722848,-73.908413
11379,40.71924,-73.892791
11385,40.702404,-73.885979
11411,40.685535,-73.737064
11412,40.695829,-73.761747
11413,40.664542,-73.755926
11414,40.658825,-73.84382
11415,40.707133,-73.829247
11416,40.684546,-73.850708
11417,40.675056,-73.844315
11418,40.698566,-73.83127
11419,40.686769,-73.822979
11420,40.674432,-73.819013
11421,40.691917,-73.85666
11422,40.659418,-73.736866
11423,40.716888,-73.766897
11426,40.736798,-73.723176
11427,40.729293,-73.749811
11428,40.720639,-73.742099
11429,40.710076,-73.740151
11430,40.655246,-73.797769
11432,40.714531,-73.794435
11433,40.696533,-73.786776
11434,40.674583,-73.78156
11435,40.700229,-73.797278
11436,40.675283,-73.800696
11691,40.601475,-73.76191
11692,40.5923,-73.793273
11693,40.59846,-73.81427
11694,40.57661,-73.84276
11695,40.651378,-73.870779
11697,40.559365,-73.906713
